年月日,観客数,勝敗,対戦相手,先発投手,試合時間,球場,年,月,日,曜日,降水量の合計(mm),平均気温(℃),スコア(ホーム),スコア(相手),スコア(合計),スコア(差),直前試合のスコア(ホーム),直前試合のスコア(相手),直前試合のスコア(合計),直前試合のスコア(差),直前試合の勝敗,月別平均観客数,日別平均観客数
2018/4/17,44978,●,日本ハム,十亀,230,東京ドーム,2018,4,17,火,3.5,10.9,2,7,9,-5,7,4,11,3,○,17693.64,20806.97
2018/4/18,12975,○,日本ハム,その他,227,西武ドーム,2018,4,18,水,15.0,12.3,9,8,17,1,2,7,9,-5,●,17693.64,19713.64
2018/4/20,14799,○,ロッテ,菊池,196,西武ドーム,2018,4,20,金,0.0,17.5,9,8,17,1,9,8,17,1,○,17693.64,20765.17
2018/4/21,27512,○,ロッテ,多和田,187,西武ドーム,2018,4,21,土,0.0,17.8,9,3,12,6,9,8,17,1,○,17693.64,20805.45
2018/4/22,27722,○,ロッテ,その他,189,西武ドーム,2018,4,22,日,0.0,19.7,11,5,16,6,9,3,12,6,○,17693.64,19673.16
2018/4/28,27874,○,楽天,菊池,180,西武ドーム,2018,4,28,土,0.0,18.8,7,3,10,4,11,5,16,6,○,17693.64,20998.5
2018/4/29,32741,○,楽天,多和田,196,西武ドーム,2018,4,29,日,0.0,18.7,16,4,20,12,7,3,10,4,○,17693.64,22562.68
2018/4/30,32243,○,楽天,その他,155,西武ドーム,2018,4,30,月,0.0,19.4,5,2,7,3,16,4,20,12,○,17693.64,21898.1
2018/5/8,17422,●,ソフトバンク,その他,224,県営大宮,2018,5,8,火,13.0,12.0,0,5,5,-5,5,2,7,3,○,22741.88,17143.54
2018/5/9,17381,●,ソフトバンク,十亀,151,西武ドーム,2018,5,9,水,25.5,11.4,0,3,3,-3,0,5,5,-5,●,22741.88,18510.93
2018/5/11,16419,●,ロッテ,その他,177,西武ドーム,2018,5,11,金,0.0,15.2,3,12,15,-9,0,3,3,-3,●,22741.88,21121.18
2018/5/12,32521,●,ロッテ,多和田,189,西武ドーム,2018,5,12,土,0.0,18.3,2,11,13,-9,3,12,15,-9,●,22741.88,20345.97
2018/5/13,28731,○,ロッテ,その他,158,西武ドーム,2018,5,13,日,36.0,16.0,6,0,6,6,2,11,13,-9,●,22741.88,19970.56
2018/5/25,21140,●,日本ハム,その他,211,西武ドーム,2018,5,25,金,0.0,21.0,5,8,13,-3,6,0,6,6,○,22741.88,19019.58
2018/5/26,31142,●,日本ハム,多和田,263,西武ドーム,2018,5,26,土,0.0,21.0,5,6,11,-1,5,8,13,-3,●,22741.88,19753.74
2018/5/27,32357,●,日本ハム,その他,224,西武ドーム,2018,5,27,日,0.0,20.7,8,10,18,-2,5,6,11,-1,●,22741.88,21138.49
2018/6/1,28261,○,阪神,菊池,179,西武ドーム,2018,6,1,金,0.5,20.9,2,0,2,2,8,10,18,-2,●,22359.4,22001.45
2018/6/2,32850,●,阪神,多和田,227,西武ドーム,2018,6,2,土,0.0,21.4,5,10,15,-5,2,0,2,2,○,22359.4,20570.03
2018/6/3,31571,○,阪神,その他,191,西武ドーム,2018,6,3,日,0.0,22.1,10,5,15,5,5,10,15,-5,●,22359.4,21970.81
2018/6/12,17088,●,ヤクルト,その他,165,県営大宮,2018,6,12,火,3.5,20.1,1,3,4,-2,10,5,15,5,○,22359.4,20345.97
2018/6/13,22989,○,ヤクルト,今井,211,西武ドーム,2018,6,13,水,0.0,21.1,7,4,11,3,1,3,4,-2,●,22359.4,19970.56
2018/6/14,18559,●,ヤクルト,十亀,191,西武ドーム,2018,6,14,木,0.0,20.0,4,6,10,-2,7,4,11,3,○,22359.4,20046.41
2018/6/15,21062,○,中日,菊池,216,西武ドーム,2018,6,15,金,3.5,16.5,3,2,5,1,4,6,10,-2,●,22359.4,21160.21
2018/6/16,31191,○,中日,その他,189,西武ドーム,2018,6,16,土,1.5,14.8,9,2,11,7,3,2,5,1,○,22359.4,20196.04
2018/6/17,31382,●,中日,その他,182,西武ドーム,2018,6,17,日,0.0,17.2,3,11,14,-8,9,2,11,7,○,22359.4,20806.97
2018/6/26,10654,●,オリックス,十亀,172,西武ドーム,2018,6,26,火,0.0,25.0,2,4,6,-2,3,11,14,-8,●,22359.4,19753.74
2018/6/27,17390,△,オリックス,その他,277,西武ドーム,2018,6,27,水,0.0,27.4,3,3,6,0,2,4,6,-2,●,22359.4,21138.49
2018/6/28,10697,○,オリックス,多和田,212,西武ドーム,2018,6,28,木,0.0,27.0,14,11,25,3,3,3,6,0,△,22359.4,20998.5
2018/6/29,19127,●,楽天,菊池,205,西武ドーム,2018,6,29,金,0.0,28.2,1,15,16,-14,14,11,25,3,○,22359.4,22562.68
2018/6/30,32037,●,楽天,今井,196,西武ドーム,2018,6,30,土,0.0,28.4,1,9,10,-8,1,15,16,-14,●,22359.4,21898.1
2018/7/1,30351,○,楽天,その他,234,西武ドーム,2018,7,1,日,0.0,27.4,8,7,15,1,1,9,10,-8,●,19106.44,22001.45
2018/7/9,14992,○,ロッテ,今井,211,西武ドーム,2018,7,9,月,0.0,26.7,11,5,16,6,8,7,15,1,○,19106.44,18510.93
2018/7/10,12490,●,ロッテ,十亀,180,西武ドーム,2018,7,10,火,0.0,27.5,5,7,12,-2,11,5,16,6,○,19106.44,17777.52
2018/7/11,17507,○,ロッテ,その他,211,西武ドーム,2018,7,11,水,0.0,28.1,8,4,12,4,5,7,12,-2,●,19106.44,21121.18
2018/7/20,31877,●,楽天,菊池,179,西武ドーム,2018,7,20,金,0.0,29.5,2,7,9,-5,8,4,12,4,○,19106.44,20765.17
2018/7/21,31389,●,楽天,今井,215,西武ドーム,2018,7,21,土,0.0,30.1,7,9,16,-2,2,7,9,-5,●,19106.44,20805.45
2018/7/22,31686,○,楽天,その他,176,西武ドーム,2018,7,22,日,0.0,30.8,6,3,9,3,7,9,16,-2,●,19106.44,19673.16
2018/7/24,15990,○,オリックス,多和田,163,西武ドーム,2018,7,24,火,0.0,29.9,7,1,8,6,6,3,9,3,○,19106.44,18457.52
2018/7/25,21291,○,オリックス,十亀,233,西武ドーム,2018,7,25,水,0.0,28.8,6,5,11,1,7,1,8,6,○,19106.44,19019.58
2018/7/26,18039,○,オリックス,菊池,186,西武ドーム,2018,7,26,木,0.0,26.2,2,1,3,1,6,5,11,1,○,19106.44,19753.74
2018/7/31,20602,○,ソフトバンク,多和田,162,西武ドーム,2018,7,31,火,0.0,28.3,7,4,11,3,2,1,3,1,○,19106.44,21679.45
2018/8/1,20463,●,ソフトバンク,その他,186,西武ドーム,2018,8,1,水,0.0,30.0,6,14,20,-8,7,4,11,3,○,20720.23,22001.45
2018/8/2,21357,○,ソフトバンク,今井,188,西武ドーム,2018,8,2,木,0.0,30.3,10,2,12,8,6,14,20,-8,●,20720.23,20570.03
2018/8/3,21904,○,日本ハム,菊池,203,西武ドーム,2018,8,3,金,9.5,30.1,4,3,7,1,10,2,12,8,○,20720.23,21970.81
2018/8/4,31721,●,日本ハム,その他,229,西武ドーム,2018,8,4,土,0.0,29.0,3,6,9,-3,4,3,7,1,○,20720.23,22697.37
2018/8/5,26605,○,日本ハム,その他,192,西武ドーム,2018,8,5,日,0.0,30.2,7,4,11,3,3,6,9,-3,●,20720.23,23356.53
2018/8/14,27628,○,オリックス,多和田,190,西武ドーム,2018,8,14,火,0.0,28.3,7,6,13,1,7,4,11,3,○,20720.23,20046.41
2018/8/15,23777,●,オリックス,その他,164,西武ドーム,2018,8,15,水,0.0,29.0,3,4,7,-1,7,6,13,1,○,20720.23,21160.21
2018/8/16,23985,△,オリックス,今井,250,西武ドーム,2018,8,16,木,0.0,27.4,1,1,2,0,3,4,7,-1,●,20720.23,20196.04
2018/8/17,27049,●,日本ハム,菊池,189,西武ドーム,2018,8,17,金,0.0,24.9,3,5,8,-2,1,1,2,0,△,20720.23,20806.97
2018/8/18,30966,○,日本ハム,十亀,208,西武ドーム,2018,8,18,土,0.0,21.9,7,6,13,1,3,5,8,-2,●,20720.23,19713.64
2018/8/19,26505,○,日本ハム,その他,214,西武ドーム,2018,8,19,日,0.0,22.6,7,4,11,3,7,6,13,1,○,20720.23,19628.91
2018/8/28,15512,○,楽天,多和田,194,前橋,2018,8,28,火,0.5,25.2,6,5,11,1,7,4,11,3,○,20720.23,20998.5
2018/8/29,17323,○,楽天,その他,198,県営大宮,2018,8,29,水,0.0,25.3,5,4,9,1,6,5,11,1,○,20720.23,22562.68
2018/9/7,25612,○,ロッテ,菊池,220,西武ドーム,2018,9,7,金,0.0,25.6,10,4,14,6,5,4,9,1,○,20473.55,18786.29
2018/9/8,30031,●,ロッテ,十亀,257,西武ドーム,2018,9,8,土,2.5,26.9,9,13,22,-4,10,4,14,6,○,20473.55,17143.54
2018/9/9,29940,○,ロッテ,今井,203,西武ドーム,2018,9,9,日,1.5,25.7,6,2,8,4,9,13,22,-4,●,20473.55,18510.93
2018/9/14,24480,○,楽天,菊池,154,西武ドーム,2018,9,14,金,8.0,20.7,10,5,15,5,6,2,8,4,○,20473.55,20046.41
2018/9/15,30264,○,ソフトバンク,その他,236,西武ドーム,2018,9,15,土,11.5,20.3,11,5,16,6,10,5,15,5,○,20473.55,21160.21
2018/9/16,30902,○,ソフトバンク,今井,220,西武ドーム,2018,9,16,日,0.0,22.7,8,5,13,3,11,5,16,6,○,20473.55,20196.04
2018/9/17,31646,○,ソフトバンク,その他,210,西武ドーム,2018,9,17,月,0.5,23.9,8,1,9,7,8,5,13,3,○,20473.55,20806.97
2018/9/18,25075,○,日本ハム,多和田,193,西武ドーム,2018,9,18,火,0.0,23.5,7,4,11,3,8,1,9,7,○,20473.55,19713.64
2018/9/19,25978,○,日本ハム,その他,194,西武ドーム,2018,9,19,水,0.5,21.6,12,4,16,8,7,4,11,3,○,20473.55,19628.91
2018/9/27,25672,○,ソフトバンク,その他,218,西武ドーム,2018,9,27,木,22.5,15.4,7,5,12,2,12,4,16,8,○,20473.55,21138.49
2018/9/28,26042,○,ソフトバンク,菊池,178,西武ドーム,2018,9,28,金,0.0,19.5,5,3,8,2,7,5,12,2,○,20473.55,20998.5
2018/9/29,31577,●,ソフトバンク,今井,198,西武ドーム,2018,9,29,土,11.0,17.5,1,3,4,-2,5,3,8,2,○,20473.55,22562.68
2019/4/2,27102,○,ロッテ,その他,218,西武ドーム,2019,4,2,火,0.0,6.0,7,4,11,3,1,3,4,-2,●,17693.64,20570.03
2019/4/3,24902,○,ロッテ,その他,183,西武ドーム,2019,4,3,水,0.0,6.5,9,3,12,6,7,4,11,3,○,17693.64,21970.81
2019/4/4,24480,○,ロッテ,その他,180,西武ドーム,2019,4,4,木,0.0,9.0,8,6,14,2,9,3,12,6,○,17693.64,22697.37
2019/4/9,16355,●,楽天,その他,225,県営大宮,2019,4,9,火,0.0,9.1,6,7,13,-1,8,6,14,2,○,17693.64,18510.93
2019/4/10,12956,●,楽天,その他,206,西武ドーム,2019,4,10,水,24.5,3.5,5,7,12,-2,6,7,13,-1,●,17693.64,17777.52
2019/4/12,11914,○,オリックス,多和田,181,西武ドーム,2019,4,12,金,0.0,8.3,1,0,1,1,5,7,12,-2,●,17693.64,20345.97
2019/4/13,24230,●,オリックス,今井,194,西武ドーム,2019,4,13,土,0.0,10.8,3,10,13,-7,1,0,1,1,○,17693.64,19970.56
2019/4/14,30893,○,オリックス,その他,192,西武ドーム,2019,4,14,日,0.0,13.0,11,3,14,8,3,10,13,-7,●,17693.64,20046.41
2019/4/19,18483,●,ソフトバンク,多和田,205,西武ドーム,2019,4,19,金,0.0,16.7,0,2,2,-2,11,3,14,8,○,17693.64,19628.91
2019/4/20,27561,○,ソフトバンク,今井,221,西武ドーム,2019,4,20,土,0.0,13.7,6,4,10,2,0,2,2,-2,●,17693.64,20765.17
2019/4/21,28274,●,ソフトバンク,その他,222,西武ドーム,2019,4,21,日,0.0,15.9,5,16,21,-11,6,4,10,2,○,17693.64,20805.45
2019/5/1,30650,●,日本ハム,その他,213,西武ドーム,2019,5,1,水,14.0,17.0,2,7,9,-5,5,16,21,-11,●,22741.88,22001.45
2019/5/2,31336,○,日本ハム,その他,163,西武ドーム,2019,5,2,木,0.5,17.2,5,3,8,2,2,7,9,-5,●,22741.88,20570.03
2019/5/3,30474,●,日本ハム,その他,194,西武ドーム,2019,5,3,金,0.0,17.1,3,10,13,-7,5,3,8,2,○,22741.88,21970.81
2019/5/4,30232,○,楽天,多和田,265,西武ドーム,2019,5,4,土,9.5,16.2,7,6,13,1,3,10,13,-7,●,22741.88,22697.37
2019/5/5,30278,○,楽天,今井,147,西武ドーム,2019,5,5,日,0.0,17.1,4,0,4,4,7,6,13,1,○,22741.88,23356.53
2019/5/6,28885,●,楽天,その他,214,西武ドーム,2019,5,6,月,0.0,17.2,4,8,12,-4,4,0,4,4,○,22741.88,19710.77
2019/5/8,14507,●,ロッテ,その他,198,前橋,2019,5,8,水,0.0,15.0,1,12,13,-11,4,8,12,-4,●,22741.88,17143.54
2019/5/9,17235,●,ロッテ,その他,250,県営大宮,2019,5,9,木,0.0,16.3,4,5,9,-1,1,12,13,-11,●,22741.88,18510.93
2019/5/21,16745,○,ソフトバンク,十亀,242,那覇,2019,5,21,火,96.5,18.4,7,6,13,1,4,5,9,-1,●,22741.88,20805.45
2019/5/22,17872,○,ソフトバンク,その他,220,那覇,2019,5,22,水,0.0,18.3,7,3,10,4,7,6,13,1,○,22741.88,19673.16
2019/5/24,26704,○,日本ハム,その他,197,西武ドーム,2019,5,24,金,0.0,21.4,10,5,15,5,7,3,10,4,○,22741.88,18457.52
2019/5/25,30814,○,日本ハム,多和田,198,西武ドーム,2019,5,25,土,0.0,23.0,7,5,12,2,10,5,15,5,○,22741.88,19019.58
2019/5/26,28451,●,日本ハム,その他,232,西武ドーム,2019,5,26,日,0.0,23.9,5,6,11,-1,7,5,12,2,○,22741.88,19753.74
2019/6/4,25934,○,広島,今井,264,西武ドーム,2019,6,4,火,0.0,21.5,5,4,9,1,5,6,11,-1,●,22359.4,22697.37
2019/6/5,26831,●,広島,十亀,203,西武ドーム,2019,6,5,水,0.0,21.4,1,9,10,-8,5,4,9,1,○,22359.4,23356.53
2019/6/6,26163,○,広島,その他,179,西武ドーム,2019,6,6,木,0.0,24.9,9,2,11,7,1,9,10,-8,●,22359.4,19710.77
2019/6/11,26552,○,巨人,その他,158,西武ドーム,2019,6,11,火,5.0,17.9,4,0,4,4,9,2,11,7,○,22359.4,21121.18
2019/6/12,27066,●,巨人,十亀,194,西武ドーム,2019,6,12,水,1.5,17.6,4,9,13,-5,4,0,4,4,○,22359.4,20345.97
2019/6/13,26037,●,巨人,その他,185,西武ドーム,2019,6,13,木,0.0,19.9,2,8,10,-6,4,9,13,-5,●,22359.4,19970.56
2019/6/14,25940,○,ヤクルト,その他,167,西武ドーム,2019,6,14,金,0.0,21.1,11,1,12,10,2,8,10,-6,●,22359.4,20046.41
2019/6/15,30264,●,ヤクルト,その他,188,西武ドーム,2019,6,15,土,56.5,16.3,5,6,11,-1,11,1,12,10,○,22359.4,21160.21
2019/6/16,30654,○,ヤクルト,その他,204,西武ドーム,2019,6,16,日,8.0,22.2,10,6,16,4,5,6,11,-1,●,22359.4,20196.04
2019/6/28,18957,●,オリックス,今井,166,西武ドーム,2019,6,28,金,32.0,24.5,0,4,4,-4,10,6,16,4,○,22359.4,20998.5
2019/6/29,28811,○,オリックス,その他,189,西武ドーム,2019,6,29,土,11.5,19.5,7,0,7,7,0,4,4,-4,●,22359.4,22562.68
2019/6/30,31187,○,オリックス,その他,236,西武ドーム,2019,6,30,日,4.5,21.3,11,3,14,8,7,0,7,7,○,22359.4,21898.1
2019/7/15,29640,●,ロッテ,今井,209,西武ドーム,2019,7,15,月,18.0,20.4,5,6,11,-1,11,3,14,8,○,19106.44,21160.21
2019/7/16,18783,○,ロッテ,十亀,188,西武ドーム,2019,7,16,火,28.5,20.1,5,1,6,4,5,6,11,-1,●,19106.44,20196.04
2019/7/17,20519,○,ロッテ,その他,174,西武ドーム,2019,7,17,水,0.0,23.5,4,3,7,1,5,1,6,4,○,19106.44,20806.97
2019/7/19,26912,○,オリックス,その他,239,西武ドーム,2019,7,19,金,3.5,25.4,5,4,9,1,4,3,7,1,○,19106.44,19628.91
2019/7/20,30200,●,オリックス,多和田,173,西武ドーム,2019,7,20,土,0.0,25.7,1,3,4,-2,5,4,9,1,○,19106.44,20765.17
2019/7/21,30097,○,オリックス,その他,179,西武ドーム,2019,7,21,日,1.0,24.4,10,3,13,7,1,3,4,-2,●,19106.44,20805.45
2019/7/26,25718,●,日本ハム,十亀,239,西武ドーム,2019,7,26,金,13.0,26.8,7,12,19,-5,10,3,13,7,○,19106.44,19753.74
2019/7/27,30668,●,日本ハム,多和田,257,西武ドーム,2019,7,27,土,21.0,27.5,6,10,16,-4,7,12,19,-5,●,19106.44,21138.49
2019/7/28,30325,○,日本ハム,その他,250,西武ドーム,2019,7,28,日,14.5,27.6,8,7,15,1,6,10,16,-4,●,19106.44,20998.5
2019/7/30,23972,○,ソフトバンク,今井,214,西武ドーム,2019,7,30,火,0.0,29.0,5,2,7,3,8,7,15,1,○,19106.44,21898.1
2019/7/31,25795,○,ソフトバンク,その他,206,西武ドーム,2019,7,31,水,0.0,29.9,2,0,2,2,5,2,7,3,○,19106.44,21679.45
2019/8/1,22681,●,ソフトバンク,その他,253,西武ドーム,2019,8,1,木,12.0,29.1,10,11,21,-1,2,0,2,2,○,20720.23,22001.45
2019/8/6,27017,●,楽天,今井,182,西武ドーム,2019,8,6,火,0.0,29.3,0,10,10,-10,10,11,21,-1,●,20720.23,19710.77
2019/8/7,23463,○,楽天,その他,204,西武ドーム,2019,8,7,水,0.0,29.4,4,3,7,1,0,10,10,-10,●,20720.23,18786.29
2019/8/8,17910,●,楽天,その他,302,県営大宮,2019,8,8,木,0.0,29.3,7,11,18,-4,4,3,7,1,○,20720.23,17143.54
2019/8/13,24748,○,オリックス,その他,209,西武ドーム,2019,8,13,火,0.0,28.0,11,4,15,7,7,11,18,-4,●,20720.23,19970.56
2019/8/14,23466,○,オリックス,その他,191,西武ドーム,2019,8,14,水,16.0,27.6,8,7,15,1,11,4,15,7,○,20720.23,20046.41
2019/8/15,23833,●,オリックス,その他,233,西武ドーム,2019,8,15,木,9.5,27.5,8,20,28,-12,8,7,15,1,○,20720.23,21160.21
2019/8/20,19138,○,日本ハム,その他,188,西武ドーム,2019,8,20,火,27.0,24.9,4,2,6,2,8,20,28,-12,●,20720.23,20765.17
2019/8/21,17694,○,日本ハム,その他,208,西武ドーム,2019,8,21,水,1.0,25.7,11,6,17,5,4,2,6,2,○,20720.23,20805.45
2019/8/22,16810,●,日本ハム,その他,209,西武ドーム,2019,8,22,木,0.5,24.7,3,5,8,-2,11,6,17,5,○,20720.23,19673.16
2019/8/23,22767,○,楽天,今井,216,西武ドーム,2019,8,23,金,5.0,25.0,8,6,14,2,3,5,8,-2,●,20720.23,21263.5
2019/8/24,25869,○,楽天,その他,258,西武ドーム,2019,8,24,土,0.5,26.4,6,5,11,1,8,6,14,2,○,20720.23,18457.52
2019/8/25,29497,●,楽天,十亀,199,西武ドーム,2019,8,25,日,3.5,25.1,2,14,16,-12,6,5,11,1,○,20720.23,19019.58
2019/8/30,24460,○,ソフトバンク,今井,189,西武ドーム,2019,8,30,金,11.5,24.4,4,2,6,2,2,14,16,-12,●,20720.23,21898.1
2019/8/31,30531,○,ソフトバンク,その他,217,西武ドーム,2019,8,31,土,0.0,26.2,10,5,15,5,4,2,6,2,○,20720.23,21679.45
2019/9/1,29217,●,ソフトバンク,十亀,200,西武ドーム,2019,9,1,日,0.0,26.6,1,4,5,-3,10,5,15,5,○,20473.55,22001.45
2019/9/11,28574,○,ソフトバンク,その他,173,西武ドーム,2019,9,11,水,17.5,26.3,4,1,5,3,1,4,5,-3,●,20473.55,21121.18
2019/9/12,24660,●,ソフトバンク,十亀,205,西武ドーム,2019,9,12,木,0.0,24.5,2,3,5,-1,4,1,5,3,○,20473.55,20345.97
2019/9/13,23314,○,ロッテ,その他,178,西武ドーム,2019,9,13,金,0.0,21.1,6,1,7,5,2,3,5,-1,●,20473.55,19970.56
2019/9/14,31024,○,ロッテ,今井,220,西武ドーム,2019,9,14,土,0.0,20.5,4,3,7,1,6,1,7,5,○,20473.55,20046.41
2019/9/15,30038,○,ロッテ,その他,270,西武ドーム,2019,9,15,日,0.0,24.5,6,5,11,1,4,3,7,1,○,20473.55,21160.21
2019/9/16,29676,●,ロッテ,その他,211,西武ドーム,2019,9,16,月,16.0,23.3,3,9,12,-6,6,5,11,1,○,20473.55,20196.04
2019/9/18,24674,○,オリックス,その他,155,西武ドーム,2019,9,18,水,6.0,20.8,5,0,5,5,3,9,12,-6,●,20473.55,19713.64
2019/9/19,24118,○,日本ハム,十亀,163,西武ドーム,2019,9,19,木,0.0,21.3,2,0,2,2,5,0,5,5,○,20473.55,19628.91
2019/9/20,27982,○,楽天,その他,197,西武ドーム,2019,9,20,金,0.0,21.9,5,3,8,2,2,0,2,2,○,20473.55,20765.17
2020/7/21,4811,○,ロッテ,今井,184,西武ドーム,2020,7,21,火,2.5,24.2,8,3,11,5,5,3,8,2,○,19106.44,20805.45
2020/7/22,4806,●,ロッテ,その他,195,西武ドーム,2020,7,22,水,43.5,25.7,1,2,3,-1,8,3,11,5,○,19106.44,19673.16
2020/7/23,4812,○,ロッテ,その他,170,西武ドーム,2020,7,23,木,35.0,22.0,3,2,5,1,1,2,3,-1,●,19106.44,21263.5
2020/7/24,4825,○,ロッテ,その他,150,西武ドーム,2020,7,24,金,1.5,23.5,3,2,5,1,3,2,5,1,○,19106.44,18457.52
2020/7/25,4811,●,ロッテ,その他,179,西武ドーム,2020,7,25,土,53.5,23.2,0,5,5,-5,3,2,5,1,○,19106.44,19019.58
2020/7/26,4816,○,ロッテ,その他,181,西武ドーム,2020,7,26,日,27.0,23.5,4,2,6,2,0,5,5,-5,●,19106.44,19753.74
2020/8/11,4715,●,楽天,その他,199,西武ドーム,2020,8,11,火,0.0,31.2,5,7,12,-2,4,2,6,2,○,20720.23,21121.18
2020/8/12,4670,●,楽天,その他,197,西武ドーム,2020,8,12,水,4.0,28.3,2,6,8,-4,5,7,12,-2,●,20720.23,20345.97
2020/8/13,4718,●,楽天,その他,225,西武ドーム,2020,8,13,木,0.5,28.7,4,7,11,-3,2,6,8,-4,●,20720.23,19970.56
2020/8/14,4681,○,楽天,その他,226,西武ドーム,2020,8,14,金,0.0,28.7,13,8,21,5,4,7,11,-3,●,20720.23,20046.41
2020/8/15,4677,△,楽天,その他,193,西武ドーム,2020,8,15,土,0.0,30.2,3,3,6,0,13,8,21,5,○,20720.23,21160.21
2020/8/16,4659,○,楽天,その他,216,西武ドーム,2020,8,16,日,0.0,30.6,11,1,12,10,3,3,6,0,△,20720.23,20196.04
2020/8/25,4635,●,日本ハム,その他,230,西武ドーム,2020,8,25,火,0.0,27.3,3,4,7,-1,11,1,12,10,○,20720.23,19019.58
2020/8/26,4604,●,日本ハム,その他,215,西武ドーム,2020,8,26,水,3.0,28.4,5,8,13,-3,3,4,7,-1,●,20720.23,19753.74
2020/8/27,4591,○,日本ハム,その他,230,西武ドーム,2020,8,27,木,2.5,28.4,8,7,15,1,5,8,13,-3,●,20720.23,21138.49
2020/9/8,4721,○,オリックス,その他,143,西武ドーム,2020,9,8,火,0.0,27.7,2,0,2,2,8,7,15,1,○,20473.55,17143.54
2020/9/9,4747,○,オリックス,その他,189,西武ドーム,2020,9,9,水,0.5,27.3,13,5,18,8,2,0,2,2,○,20473.55,18510.93
2020/9/10,4675,●,オリックス,その他,212,西武ドーム,2020,9,10,木,0.0,26.1,4,12,16,-8,13,5,18,8,○,20473.55,17777.52
2020/9/15,4604,○,ロッテ,その他,158,西武ドーム,2020,9,15,火,0.0,23.0,4,3,7,1,4,12,16,-8,●,20473.55,21160.21
2020/9/16,4615,○,ロッテ,その他,180,西武ドーム,2020,9,16,水,2.5,22.6,3,1,4,2,4,3,7,1,○,20473.55,20196.04
2020/9/17,4621,●,ロッテ,その他,179,西武ドーム,2020,9,17,木,0.0,23.9,1,8,9,-7,3,1,4,2,○,20473.55,20806.97
2020/9/22,9471,●,日本ハム,その他,199,西武ドーム,2020,9,22,火,0.5,21.4,1,5,6,-4,1,8,9,-7,●,20473.55,19673.16
2020/9/23,6612,○,日本ハム,その他,215,西武ドーム,2020,9,23,水,8.5,19.0,6,5,11,1,1,5,6,-4,●,20473.55,21263.5
2020/9/24,6438,●,日本ハム,その他,213,西武ドーム,2020,9,24,木,5.0,18.1,2,12,14,-10,6,5,11,1,○,20473.55,18457.52
