年月日,降水量の合計(mm),平均気温(℃)
2012/7/15,0.0,27.9
2012/7/16,0.0,29.0
2012/7/17,0.0,29.2
2012/7/18,0.0,28.1
2012/7/19,0.0,27.3
2012/7/20,24.5,19.0
2012/7/21,0.5,18.3
2012/7/22,0.5,19.7
2012/7/23,0.0,23.4
2012/7/24,0.0,25.5
2012/7/25,0.0,27.4
2012/7/26,0.0,28.8
2012/7/27,0.0,29.0
2012/7/28,0.0,28.9
2012/7/29,0.0,28.8
2012/7/30,0.0,28.3
2012/7/31,0.0,28.2
2012/8/1,0.0,27.2
2012/8/2,0.0,28.4
2012/8/3,0.0,28.3
2012/8/4,3.0,26.3
2012/8/5,0.0,27.9
2012/8/6,8.5,25.8
2012/8/7,0.0,27.0
2012/8/8,0.0,25.0
2012/8/9,0.0,25.0
2012/8/10,0.0,26.0
2012/8/11,2.0,26.4
2012/8/12,0.0,26.3
2012/8/13,0.0,28.5
2012/8/14,9.5,26.5
2012/8/15,0.0,27.2
2012/8/16,0.0,28.8
2012/8/17,1.5,28.3
2012/8/18,0.5,26.3
2012/8/19,0.0,27.4
2012/8/20,0.0,27.5
2012/8/21,0.0,27.7
2012/8/22,0.0,28.3
2012/8/23,0.0,28.3
2012/8/24,0.0,28.0
2012/8/25,0.0,27.9
2012/8/26,0.0,27.7
2012/8/27,0.0,27.7
2012/8/28,0.0,27.5
2012/8/29,0.0,27.4
2012/8/30,0.0,28.3
2012/8/31,0.0,27.8
2012/9/1,20.0,24.5
2012/9/2,58.5,23.3
2012/9/3,1.0,24.6
2012/9/4,4.0,25.1
2012/9/5,0.0,26.4
2012/9/6,9.0,24.7
2012/9/7,0.0,25.3
2012/9/8,0.0,26.5
2012/9/9,0.0,26.4
2012/9/10,0.0,26.1
2012/9/11,0.0,26.3
2012/9/12,0.0,25.6
2012/9/13,0.0,26.5
2012/9/14,0.0,26.5
2012/9/15,0.0,25.6
2012/9/16,1.0,24.9
2012/9/17,23.0,25.4
2012/9/18,15.0,25.6
2012/9/19,5.5,24.8
2012/9/20,0.0,25.2
2012/9/21,17.5,22.8
2012/9/22,5.5,20.8
2012/9/23,85.5,18.8
2012/9/24,5.5,21.6
2012/9/25,1.5,18.7
2012/9/26,0.0,20.1
2012/9/27,0.0,19.9
2012/9/28,0.0,21.3
2012/9/29,0.0,23.4
2012/9/30,35.0,23.8
2012/10/1,0.0,25.3
2012/10/2,0.0,22.1
2012/10/3,9.0,19.8
2012/10/4,2.0,21.9
2012/10/5,0.0,21.9
2012/10/6,0.0,22.0
2012/10/7,4.5,17.7
2012/10/8,0.0,18.0
2012/10/9,0.0,17.8
2012/10/10,0.0,17.8
2012/10/11,0.0,19.8
2012/10/12,0.0,18.4
2012/10/13,0.0,18.4
2012/10/14,0.0,16.3
2012/10/15,0.0,19.0
2012/10/16,0.0,17.0
2012/10/17,8.5,15.6
2012/10/18,14.5,16.1
2012/10/19,15.5,14.8
2012/10/20,0.0,15.3
2012/10/21,0.0,17.1
2012/10/22,0.0,17.1
2012/10/23,6.0,17.9
2012/10/24,0.0,14.9
2012/10/25,0.0,14.0
2012/10/26,0.0,15.2
2012/10/27,0.0,15.3
2012/10/28,12.5,13.1
2012/10/29,0.5,15.4
2012/10/30,0.0,11.5
2012/10/31,0.0,11.8
2012/11/1,0.0,11.7
2012/11/2,0.0,12.1
2012/11/3,0.0,12.0
2012/11/4,0.0,12.1
2012/11/5,1.5,10.9
2013/3/20,0.0,16.0
2013/3/21,0.0,9.3
2013/3/22,0.0,11.8
2013/3/23,0.0,11.8
2013/3/24,0.0,9.6
2013/3/25,9.5,7.9
2013/3/26,0.0,7.3
2013/3/27,2.0,6.6
2013/3/28,0.0,12.7
2013/3/29,0.0,13.9
2013/3/30,2.0,6.6
2013/3/31,1.0,6.1
2013/4/1,0.0,9.9
2013/4/2,38.0,8.5
2013/4/3,34.5,11.9
2013/4/4,0.0,14.6
2013/4/5,0.0,15.7
2013/4/6,57.0,14.0
2013/4/7,1.0,15.9
2013/4/8,0.0,12.3
2013/4/9,0.0,13.2
2013/4/10,0.5,11.3
2013/4/11,0.5,7.9
2013/4/12,0.0,9.3
2013/4/13,0.0,10.1
2013/4/14,0.0,14.0
2013/4/15,0.0,15.3
2013/4/16,0.0,13.5
2013/4/17,0.0,17.7
2013/4/18,0.0,17.6
2013/4/19,0.0,11.9
2013/4/20,9.5,7.0
2013/4/21,18.5,6.6
2013/4/22,0.0,9.4
2013/4/23,0.0,11.2
2013/4/24,9.0,14.5
2013/4/25,0.0,16.5
2013/4/26,0.0,14.7
2013/4/27,0.0,13.0
2013/4/28,0.0,13.9
2013/4/29,0.0,14.5
2013/4/30,0.0,17.2
2013/5/1,2.0,13.5
2013/5/2,1.5,12.3
2013/5/3,0.0,12.6
2013/5/4,0.0,13.8
2013/5/5,0.0,15.7
2013/5/6,0.0,17.5
2013/5/7,0.0,13.2
2013/5/8,0.0,14.8
2013/5/9,0.0,16.6
2013/5/10,0.0,20.1
2013/5/11,11.5,16.1
2013/5/12,1.5,19.2
2013/5/13,0.0,17.2
2013/5/14,0.0,20.9
2013/5/15,0.0,19.4
2013/5/16,12.5,18.3
2013/5/17,0.0,16.8
2013/5/18,0.0,18.1
2013/5/19,1.5,18.1
2013/5/20,1.5,17.8
2013/5/21,0.0,21.5
2013/5/22,0.0,21.2
2013/5/23,0.0,21.0
2013/5/24,0.0,20.7
2013/5/25,0.0,17.6
2013/5/26,0.0,20.2
2013/5/27,0.0,20.7
2013/5/28,0.0,20.3
2013/5/29,0.0,20.1
2013/5/30,0.5,20.0
2013/5/31,0.0,21.7
2013/6/1,0.0,19.6
2013/6/2,0.0,18.2
2013/6/3,0.0,19.2
2013/6/4,0.0,21.2
2013/6/5,0.0,21.4
2013/6/6,0.0,20.6
2013/6/7,0.0,20.8
2013/6/8,0.0,20.8
2013/6/9,0.0,22.2
2013/6/10,0.0,21.3
2013/6/11,2.5,19.7
2013/6/12,10.5,19.5
2013/6/13,56.0,20.4
2013/6/14,10.0,22.7
2013/6/15,11.5,24.6
2013/6/16,24.0,22.5
2013/6/17,0.0,24.0
2013/6/18,0.0,25.3
2013/6/19,0.5,24.1
2013/6/20,6.5,20.9
2013/6/21,6.5,20.2
2013/6/22,2.5,20.5
2013/6/23,0.0,21.8
2013/6/24,0.0,22.0
2013/6/25,26.0,21.9
2013/6/26,32.0,19.8
2013/6/27,2.5,21.5
2013/6/28,0.0,21.4
2013/6/29,0.0,22.4
2013/6/30,0.0,22.5
2013/7/1,0.0,22.5
2013/7/2,0.0,22.8
2013/7/3,0.0,22.6
2013/7/4,0.0,23.6
2013/7/5,0.0,25.7
2013/7/6,0.0,28.4
2013/7/7,1.0,27.7
2013/7/8,5.5,27.0
2013/7/9,0.0,28.1
2013/7/10,0.0,28.9
2013/7/11,0.0,29.7
2013/7/12,0.0,29.7
2013/7/13,0.0,27.8
2013/7/14,4.5,27.7
2013/7/15,0.0,27.4
2013/7/16,0.0,24.3
2013/7/17,12.0,23.2
2013/7/18,0.5,26.1
2013/7/19,0.0,25.9
2013/7/20,0.0,24.0
2013/7/21,0.0,24.3
2013/7/22,2.5,24.9
2013/7/23,36.0,25.8
2013/7/24,6.5,23.6
2013/7/25,1.0,23.9
2013/7/26,0.0,26.7
2013/7/27,22.0,25.5
2013/7/28,0.0,25.2
2013/7/29,4.0,24.0
2013/7/30,0.0,26.4
2013/7/31,0.0,26.1
2013/8/1,0.5,26.1
2013/8/2,0.0,24.6
2013/8/3,0.0,25.3
2013/8/4,0.0,26.0
2013/8/5,0.0,27.5
2013/8/6,2.0,26.2
2013/8/7,0.0,28.3
2013/8/8,0.0,28.6
2013/8/9,0.0,29.6
2013/8/10,0.0,31.3
2013/8/11,0.0,29.9
2013/8/12,4.0,28.7
2013/8/13,14.0,28.0
2013/8/14,0.0,28.2
2013/8/15,0.0,27.9
2013/8/16,0.0,28.3
2013/8/17,0.0,27.9
2013/8/18,0.0,28.6
2013/8/19,0.0,29.0
2013/8/20,0.0,28.9
2013/8/21,1.0,27.2
2013/8/22,0.0,27.7
2013/8/23,5.0,26.0
2013/8/24,0.0,26.5
2013/8/25,5.0,23.5
2013/8/26,25.0,24.3
2013/8/27,30.5,23.8
2013/8/28,0.0,26.0
2013/8/29,0.0,26.2
2013/8/30,0.0,28.2
2013/8/31,0.0,29.0
2013/9/1,6.0,28.0
2013/9/2,0.0,25.5
2013/9/3,0.0,27.5
2013/9/4,44.5,25.7
2013/9/5,10.0,25.4
2013/9/6,0.5,23.8
2013/9/7,0.0,22.9
2013/9/8,4.0,22.4
2013/9/9,0.0,23.3
2013/9/10,7.0,23.2
2013/9/11,4.5,22.5
2013/9/12,0.0,25.4
2013/9/13,0.0,26.2
2013/9/14,0.0,26.2
2013/9/15,84.0,23.9
2013/9/16,43.0,24.4
2013/9/17,0.0,20.7
2013/9/18,0.0,20.8
2013/9/19,0.0,21.4
2013/9/20,0.0,22.4
2013/9/21,0.0,23.3
2013/9/22,0.0,23.3
2013/9/23,0.0,20.1
2013/9/24,0.5,20.9
2013/9/25,16.5,22.0
2013/9/26,0.0,20.9
2013/9/27,0.0,17.9
2013/9/28,0.0,18.1
2013/9/29,0.0,19.8
2013/9/30,0.0,20.2
2013/10/1,6.0,21.0
2013/10/2,5.5,22.5
2013/10/3,0.0,22.4
2013/10/4,2.5,17.1
2013/10/5,28.0,17.5
2013/10/6,1.0,20.8
2013/10/7,0.0,22.0
2013/10/8,0.0,23.0
2013/10/9,0.0,24.1
2013/10/10,0.0,22.7
2013/10/11,0.0,24.1
2013/10/12,0.0,22.8
2013/10/13,0.0,19.5
2013/10/14,0.0,17.7
2013/10/15,67.0,16.7
2013/10/16,88.0,18.5
2013/10/17,0.0,16.0
2013/10/18,0.0,15.5
2013/10/19,1.5,14.3
2013/10/20,56.5,14.2
2013/10/21,0.0,16.9
2013/10/22,0.0,16.2
2013/10/23,0.0,15.4
2013/10/24,3.0,14.7
2013/10/25,20.5,16.6
2013/10/26,36.5,14.5
2013/10/27,0.0,14.6
2013/10/28,0.0,13.3
2013/10/29,2.5,13.4
2013/10/30,0.5,15.6
2013/10/31,0.0,14.4
2013/11/1,0.0,14.5
2013/11/2,0.0,14.0
2013/11/3,0.0,14.8
2013/11/4,3.0,14.5
2013/11/5,0.0,13.1
2014/3/20,10.0,6.4
2014/3/21,0.0,8.2
2014/3/22,0.0,7.6
2014/3/23,0.0,8.9
2014/3/24,0.0,10.7
2014/3/25,0.0,13.5
2014/3/26,0.0,13.6
2014/3/27,2.0,10.0
2014/3/28,0.0,12.0
2014/3/29,0.0,14.1
2014/3/30,6.5,14.2
2014/3/31,0.0,13.9
2014/4/1,0.0,12.1
2014/4/2,0.0,12.3
2014/4/3,33.5,11.6
2014/4/4,10.5,13.4
2014/4/5,0.0,9.6
2014/4/6,1.5,7.1
2014/4/7,0.0,8.6
2014/4/8,0.0,13.0
2014/4/9,0.0,13.2
2014/4/10,0.0,14.0
2014/4/11,0.0,11.0
2014/4/12,0.0,11.8
2014/4/13,0.0,11.7
2014/4/14,0.0,12.0
2014/4/15,0.0,14.2
2014/4/16,0.0,15.7
2014/4/17,0.0,15.0
2014/4/18,4.5,9.8
2014/4/19,0.5,10.0
2014/4/20,0.5,8.9
2014/4/21,1.0,11.8
2014/4/22,2.5,13.9
2014/4/23,0.0,14.2
2014/4/24,0.0,14.7
2014/4/25,0.0,15.4
2014/4/26,0.0,16.2
2014/4/27,0.0,15.8
2014/4/28,0.0,15.7
2014/4/29,0.0,16.0
2014/4/30,19.5,15.0
2014/5/1,2.0,18.7
2014/5/2,0.0,18.3
2014/5/3,0.0,19.4
2014/5/4,0.0,17.2
2014/5/5,0.0,15.9
2014/5/6,0.5,12.7
2014/5/7,0.0,14.6
2014/5/8,0.0,16.3
2014/5/9,1.0,15.9
2014/5/10,0.0,16.7
2014/5/11,0.0,17.9
2014/5/12,0.0,17.1
2014/5/13,0.0,18.6
2014/5/14,0.0,19.8
2014/5/15,1.0,18.2
2014/5/16,0.0,19.8
2014/5/17,0.0,18.3
2014/5/18,0.0,18.3
2014/5/19,0.0,19.3
2014/5/20,0.0,19.9
2014/5/21,39.0,16.0
2014/5/22,2.5,17.4
2014/5/23,0.0,16.7
2014/5/24,0.0,19.0
2014/5/25,0.0,21.3
2014/5/26,3.5,19.5
2014/5/27,13.0,20.3
2014/5/28,0.0,21.0
2014/5/29,0.0,20.5
2014/5/30,0.0,22.1
2014/5/31,0.0,24.1
2014/6/1,0.0,25.1
2014/6/2,0.0,24.6
2014/6/3,0.0,22.5
2014/6/4,0.0,22.7
2014/6/5,21.5,19.7
2014/6/6,164.0,18.0
2014/6/7,78.5,17.1
2014/6/8,54.0,19.0
2014/6/9,10.5,21.6
2014/6/10,0.5,22.3
2014/6/11,28.5,20.5
2014/6/12,34.0,20.5
2014/6/13,4.5,22.1
2014/6/14,0.0,22.3
2014/6/15,0.0,22.7
2014/6/16,0.0,23.1
2014/6/17,0.0,22.9
2014/6/18,0.0,21.4
2014/6/19,6.5,22.6
2014/6/20,1.5,22.1
2014/6/21,0.0,23.1
2014/6/22,16.5,20.2
2014/6/23,0.0,22.2
2014/6/24,10.5,20.7
2014/6/25,0.0,20.9
2014/6/26,0.0,22.5
2014/6/27,0.5,22.4
2014/6/28,17.0,21.0
2014/6/29,46.0,22.0
2014/6/30,0.0,22.0
2014/7/1,0.0,23.6
2014/7/2,0.0,24.2
2014/7/3,1.0,22.9
2014/7/4,10.5,19.7
2014/7/5,12.5,19.7
2014/7/6,0.0,22.5
2014/7/7,3.0,21.8
2014/7/8,0.0,24.7
2014/7/9,10.5,22.3
2014/7/10,1.0,24.4
2014/7/11,0.5,27.5
2014/7/12,6.0,26.6
2014/7/13,0.0,24.5
2014/7/14,0.0,26.5
2014/7/15,0.0,26.4
2014/7/16,0.0,27.4
2014/7/17,2.0,26.2
2014/7/18,3.0,23.1
2014/7/19,13.5,22.1
2014/7/20,0.5,22.8
2014/7/21,0.0,23.7
2014/7/22,0.0,26.1
2014/7/23,0.0,27.4
2014/7/24,3.5,27.6
2014/7/25,0.0,28.8
2014/7/26,0.0,29.0
2014/7/27,15.5,28.0
2014/7/28,0.0,25.5
2014/7/29,0.0,25.5
2014/7/30,0.0,25.9
2014/7/31,0.0,27.4
2014/8/1,0.0,28.2
2014/8/2,0.0,28.4
2014/8/3,0.0,29.4
2014/8/4,0.0,29.5
2014/8/5,0.0,31.0
2014/8/6,0.0,30.7
2014/8/7,0.0,29.0
2014/8/8,0.0,26.7
2014/8/9,3.5,23.7
2014/8/10,50.0,24.0
2014/8/11,0.0,28.2
2014/8/12,6.0,23.0
2014/8/13,0.0,24.3
2014/8/14,3.5,25.1
2014/8/15,0.0,28.1
2014/8/16,2.0,25.7
2014/8/17,0.0,23.8
2014/8/18,0.0,27.2
2014/8/19,0.0,28.4
2014/8/20,0.0,29.0
2014/8/21,0.0,28.8
2014/8/22,0.0,28.8
2014/8/23,0.0,25.5
2014/8/24,0.0,26.6
2014/8/25,1.0,24.5
2014/8/26,1.0,22.6
2014/8/27,8.0,19.2
2014/8/28,2.5,20.2
2014/8/29,0.5,22.1
2014/8/30,10.5,22.0
2014/8/31,0.0,22.4
2014/9/1,42.0,20.5
2014/9/2,1.0,23.4
2014/9/3,0.0,23.0
2014/9/4,0.0,23.0
2014/9/5,0.0,25.7
2014/9/6,11.0,25.9
2014/9/7,10.0,20.2
2014/9/8,0.5,20.2
2014/9/9,1.0,22.4
2014/9/10,0.0,22.0
2014/9/11,11.5,20.1
2014/9/12,0.0,21.3
2014/9/13,0.0,21.1
2014/9/14,0.0,21.4
2014/9/15,0.0,21.2
2014/9/16,0.0,23.1
2014/9/17,0.0,21.6
2014/9/18,0.0,20.3
2014/9/19,0.0,19.2
2014/9/20,0.0,17.7
2014/9/21,0.0,19.2
2014/9/22,3.0,20.1
2014/9/23,0.5,19.8
2014/9/24,0.0,20.6
2014/9/25,1.0,22.7
2014/9/26,0.0,22.3
2014/9/27,0.0,18.8
2014/9/28,0.0,20.1
2014/9/29,0.0,21.0
2014/9/30,0.0,22.0
2014/10/1,0.0,19.5
2014/10/2,0.0,19.8
2014/10/3,0.0,23.2
2014/10/4,0.0,22.4
2014/10/5,115.0,16.2
2014/10/6,89.0,20.0
2014/10/7,0.0,18.5
2014/10/8,0.0,18.2
2014/10/9,0.0,18.7
2014/10/10,0.0,19.6
2014/10/11,0.0,18.4
2014/10/12,0.0,16.3
2014/10/13,73.0,14.6
2014/10/14,2.5,20.9
2014/10/15,6.5,13.7
2014/10/16,0.5,14.8
2014/10/17,0.0,15.8
2014/10/18,0.0,13.9
2014/10/19,0.0,16.1
2014/10/20,0.0,16.2
2014/10/21,2.0,16.3
2014/10/22,19.0,14.4
2014/10/23,5.0,12.3
2014/10/24,0.0,14.0
2014/10/25,0.0,16.0
2014/10/26,0.5,17.5
2014/10/27,0.0,17.2
2014/10/28,0.0,13.9
2014/10/29,0.0,13.0
2014/10/30,0.0,13.8
2014/10/31,0.0,15.4
2014/11/1,11.0,14.4
2014/11/2,0.0,16.6
2014/11/3,0.0,14.7
2014/11/4,0.0,12.4
2014/11/5,0.0,13.1
2015/3/20,0.0,11.4
2015/3/21,0.0,9.7
2015/3/22,0.0,10.6
2015/3/23,0.0,8.6
2015/3/24,0.0,5.8
2015/3/25,0.0,6.7
2015/3/26,0.0,7.7
2015/3/27,0.0,10.1
2015/3/28,0.0,11.9
2015/3/29,0.0,12.2
2015/3/30,0.0,14.0
2015/3/31,0.0,14.0
2015/4/1,0.5,12.5
2015/4/2,0.0,10.8
2015/4/3,0.0,15.2
2015/4/4,0.0,12.6
2015/4/5,3.5,9.3
2015/4/6,0.0,15.6
2015/4/7,6.0,9.5
2015/4/8,18.0,2.8
2015/4/9,0.0,5.6
2015/4/10,6.5,7.1
2015/4/11,5.0,10.9
2015/4/12,0.0,11.5
2015/4/13,25.5,8.7
2015/4/14,14.5,11.6
2015/4/15,1.5,13.7
2015/4/16,0.0,13.9
2015/4/17,0.0,14.6
2015/4/18,0.0,12.6
2015/4/19,0.0,12.9
2015/4/20,1.0,15.9
2015/4/21,0.0,16.6
2015/4/22,0.5,14.9
2015/4/23,0.0,16.9
2015/4/24,0.0,16.7
2015/4/25,0.0,15.9
2015/4/26,0.0,15.7
2015/4/27,0.0,18.0
2015/4/28,0.0,19.8
2015/4/29,0.0,17.7
2015/4/30,0.0,17.9
2015/5/1,0.0,19.2
2015/5/2,0.0,20.0
2015/5/3,0.0,19.5
2015/5/4,0.0,20.6
2015/5/5,0.0,17.8
2015/5/6,0.0,16.4
2015/5/7,0.0,18.1
2015/5/8,0.0,19.9
2015/5/9,0.0,17.2
2015/5/10,0.0,17.6
2015/5/11,0.0,15.7
2015/5/12,34.0,17.6
2015/5/13,0.0,21.1
2015/5/14,0.0,20.7
2015/5/15,0.0,21.5
2015/5/16,2.5,19.8
2015/5/17,0.0,21.4
2015/5/18,0.0,19.9
2015/5/19,2.5,18.7
2015/5/20,0.0,21.8
2015/5/21,12.0,18.3
2015/5/22,0.0,18.6
2015/5/23,0.0,20.5
2015/5/24,0.0,20.7
2015/5/25,0.0,20.3
2015/5/26,0.0,21.9
2015/5/27,0.0,23.1
2015/5/28,0.0,21.4
2015/5/29,6.5,19.6
2015/5/30,0.0,23.0
2015/5/31,0.0,24.2
2015/6/1,0.0,22.4
2015/6/2,0.0,22.0
2015/6/3,11.5,20.6
2015/6/4,0.0,21.9
2015/6/5,33.0,17.2
2015/6/6,11.0,18.1
2015/6/7,0.0,19.9
2015/6/8,0.5,19.6
2015/6/9,23.0,19.2
2015/6/10,0.0,22.0
2015/6/11,0.0,21.8
2015/6/12,2.5,21.1
2015/6/13,0.0,23.7
2015/6/14,0.5,22.0
2015/6/15,0.0,24.0
2015/6/16,0.0,22.8
2015/6/17,21.5,20.7
2015/6/18,0.0,20.1
2015/6/19,32.0,17.9
2015/6/20,0.0,20.7
2015/6/21,0.0,19.8
2015/6/22,0.0,21.6
2015/6/23,0.0,22.4
2015/6/24,0.0,23.3
2015/6/25,6.0,22.5
2015/6/26,10.5,20.9
2015/6/27,1.5,21.1
2015/6/28,0.0,22.7
2015/6/29,0.0,20.7
2015/6/30,0.5,21.4
2015/7/1,9.5,19.8
2015/7/2,0.0,21.6
2015/7/3,54.5,21.0
2015/7/4,4.0,21.6
2015/7/5,7.0,19.9
2015/7/6,16.5,19.2
2015/7/7,0.5,20.8
2015/7/8,7.0,21.5
2015/7/9,16.5,19.0
2015/7/10,0.0,22.7
2015/7/11,0.0,25.1
2015/7/12,0.0,26.3
2015/7/13,0.0,28.7
2015/7/14,0.0,29.4
2015/7/15,0.0,27.2
2015/7/16,166.0,24.1
2015/7/17,12.0,25.9
2015/7/18,0.0,25.8
2015/7/19,0.0,27.2
2015/7/20,5.0,27.2
2015/7/21,0.0,28.8
2015/7/22,0.0,28.3
2015/7/23,5.0,26.6
2015/7/24,0.0,27.6
2015/7/25,0.0,28.7
2015/7/26,0.0,30.1
2015/7/27,0.0,29.4
2015/7/28,0.0,28.6
2015/7/29,0.0,28.6
2015/7/30,0.0,27.8
2015/7/31,0.0,28.8
2015/8/1,0.0,29.3
2015/8/2,0.0,28.7
2015/8/3,0.0,28.7
2015/8/4,0.0,28.9
2015/8/5,0.0,28.9
2015/8/6,0.0,29.7
2015/8/7,0.0,30.4
2015/8/8,0.0,27.5
2015/8/9,0.0,27.6
2015/8/10,0.0,27.2
2015/8/11,0.0,28.6
2015/8/12,5.0,26.7
2015/8/13,0.5,26.3
2015/8/14,0.0,25.2
2015/8/15,0.0,26.9
2015/8/16,35.5,26.7
2015/8/17,69.0,24.3
2015/8/18,0.0,27.1
2015/8/19,0.0,27.3
2015/8/20,27.0,24.6
2015/8/21,0.0,25.1
2015/8/22,0.0,27.6
2015/8/23,2.5,24.6
2015/8/24,0.0,23.3
2015/8/25,1.5,20.2
2015/8/26,30.5,18.6
2015/8/27,0.0,23.3
2015/8/28,0.0,20.9
2015/8/29,4.0,19.6
2015/8/30,5.5,20.1
2015/8/31,3.5,20.9
2015/9/1,8.0,22.6
2015/9/2,3.0,25.8
2015/9/3,1.0,24.0
2015/9/4,14.0,23.9
2015/9/5,0.5,24.0
2015/9/6,16.5,22.4
2015/9/7,7.0,20.9
2015/9/8,67.5,19.0
2015/9/9,106.0,21.2
2015/9/10,18.0,21.2
2015/9/11,0.0,22.7
2015/9/12,0.0,23.4
2015/9/13,0.0,22.1
2015/9/14,0.0,22.1
2015/9/15,0.0,21.1
2015/9/16,3.5,19.7
2015/9/17,58.0,17.2
2015/9/18,5.5,19.5
2015/9/19,0.0,22.9
2015/9/20,0.0,21.8
2015/9/21,0.0,21.0
2015/9/22,0.0,21.8
2015/9/23,0.0,21.1
2015/9/24,3.0,18.8
2015/9/25,30.0,16.9
2015/9/26,2.0,20.1
2015/9/27,0.0,20.8
2015/9/28,0.0,22.3
2015/9/29,0.0,21.1
2015/9/30,0.0,19.3
2015/10/1,0.5,18.2
2015/10/2,23.0,21.4
2015/10/3,0.0,20.9
2015/10/4,0.0,19.8
2015/10/5,0.0,16.5
2015/10/6,0.0,16.7
2015/10/7,0.0,16.8
2015/10/8,0.0,19.0
2015/10/9,0.0,18.6
2015/10/10,0.0,16.5
2015/10/11,4.0,16.6
2015/10/12,0.0,17.2
2015/10/13,0.0,17.8
2015/10/14,0.0,16.3
2015/10/15,0.0,16.2
2015/10/16,10.5,14.8
2015/10/17,8.0,16.5
2015/10/18,0.0,17.7
2015/10/19,0.0,17.4
2015/10/20,0.0,17.3
2015/10/21,0.0,15.5
2015/10/22,0.0,16.3
2015/10/23,0.0,16.1
2015/10/24,0.0,17.4
2015/10/25,0.0,14.4
2015/10/26,0.0,13.6
2015/10/27,0.0,17.0
2015/10/28,0.5,18.9
2015/10/29,0.5,15.6
2015/10/30,0.0,15.8
2015/10/31,0.0,12.6
2015/11/1,0.0,11.1
2015/11/2,31.0,11.9
2015/11/3,2.5,14.4
2015/11/4,0.0,12.2
2015/11/5,0.0,13.4
2016/3/20,0.0,12.1
